Idata,Qdata,Šp“xdata
24490         ,             42703         ,             42116
23911         ,             43344         ,             42781
23859         ,             41704         ,             42158
22614         ,             40196         ,             42447
21441         ,             38443         ,             42595
20339         ,             36585         ,             42650
19354         ,             34703         ,             42596
18549         ,             32845         ,             42381
17991         ,             31092         ,             41961
17724         ,             29406         ,             41245
17784         ,             27807         ,             40179
18197         ,             26309         ,             38731
18974         ,             24886         ,             36874
20114         ,             23561         ,             34659
21592         ,             22348         ,             32190
23344         ,             21208         ,             29579
25282         ,             20138         ,             26977
27319         ,             19124         ,             24495
29399         ,             18178         ,             22211
31471         ,             17293         ,             20152
33502         ,             16435         ,             18292
35480         ,             15641         ,             16653
37371         ,             14893         ,             15210
39176         ,             14200         ,             13947
40892         ,             13532         ,             12817
42504         ,             12936         ,             11849
44031         ,             12465         ,             11065
45464         ,             12226         ,             10536
46815         ,             12218         ,             10239
48076         ,             12515         ,             10214
49256         ,             13189         ,             10493
50363         ,             14251         ,             11060
51396         ,             15667         ,             11867
52344         ,             17418         ,             12884
53122         ,             19385         ,             14033
53579         ,             21488         ,             15297
53620         ,             23639         ,             16654
53215         ,             25836         ,             18128
52366         ,             28012         ,             19700
51187         ,             30149         ,             21349
49782         ,             32230         ,             23044
48271         ,             34214         ,             24730
46785         ,             36094         ,             26355
45401         ,             37659         ,             27772
44155         ,             38637         ,             28831
42994         ,             38837         ,             29464
41779         ,             38265         ,             29740
40367         ,             37140         ,             29831
38738         ,             35707         ,             29868
36972         ,             34107         ,             29884
35161         ,             32480         ,             29911
33356         ,             30815         ,             29913
31607         ,             29215         ,             29923
29928         ,             27712         ,             29959
28332         ,             26341         ,             30040
26820         ,             25045         ,             30128
25399         ,             23808         ,             30204
24063         ,             22639         ,             30277
22802         ,             21598         ,             30413
21624         ,             20769         ,             30691
20511         ,             20292         ,             31285
19468         ,             20230         ,             32270
18485         ,             20659         ,             33725
17564         ,             21606         ,             35624
16696         ,             22978         ,             37798
15921         ,             24640         ,             39992
15352         ,             26510         ,             41947
15104         ,             28405         ,             43399
15231         ,             30142         ,             44235
15784         ,             31524         ,             44382
16717         ,             32430         ,             43911
17938         ,             32756         ,             42906
19325         ,             32556         ,             41515
20756         ,             31863         ,             39843
22125         ,             30834         ,             38037
23336         ,             29631         ,             36244
24347         ,             28329         ,             34526
25129         ,             27028         ,             32960
25710         ,             25848         ,             31607
26128         ,             24862         ,             30504
26438         ,             24168         ,             29702
26698         ,             23799         ,             29200
26977         ,             23799         ,             28993
27341         ,             24181         ,             29043
27824         ,             24942         ,             29312
28461         ,             26070         ,             29743
29272         ,             27504         ,             30251
30277         ,             29170         ,             30753
31479         ,             30964         ,             31169
